user_id;app_name;age;gender;country;urban_rural;income_level;employment_status;education_level;relationship_status;has_children;exercise_hours_per_week;sleep_hours_per_night;diet_quality;smoking;alcohol_frequency;perceived_stress_score;self_reported_happiness;body_mass_index;blood_pressure_systolic;blood_pressure_diastolic;daily_steps_count;weekly_work_hours;hobbies_count;social_events_per_month;books_read_per_year;volunteer_hours_per_month;travel_frequency_per_year;daily_active_minutes_instagram;sessions_per_day;posts_created_per_week;reels_watched_per_day;stories_viewed_per_day;likes_given_per_day;comments_written_per_day;dms_sent_per_week;dms_received_per_week;ads_viewed_per_day;ads_clicked_per_day;time_on_feed_per_day;time_on_explore_per_day;time_on_messages_per_day;time_on_reels_per_day;followers_count;following_count;uses_premium_features;notification_response_rate;account_creation_year;last_login_date;average_session_length_minutes;content_type_preference;preferred_content_theme;privacy_setting_level;two_factor_auth_enabled;biometric_login_used;linked_accounts_count;subscription_status;user_engagement_score
781975;Instagram;45;Female;Australia;Rural;Low;Unemployed;Bachelors;In a relationship;No;37;68;Poor;No;Rarely;31;6;237;106;83;7985;391;1;4;14;50;2;2390;19;3;177;138;144;50;31;24;23;9;97;39;43;95;11893;6104;No;82;2023;16/09/2025;126;Videos;Food;Public;Yes;Yes;3;Premium;105
937738;Instagram;32;Male;Brazil;Urban;High;Freelancer;PhD;In a relationship;No;123;63;Good;Yes;Never;4;8;230;153;65;8087;336;5;2;13;13;1;550;3;3;63;47;51;18;15;14;8;2;24;8;7;19;1889;974;No;72;2012;20/02/2025;183;Videos;Art;Friends only;No;No;4;Premium;171
907829;Instagram;49;Male;India;Urban;Middle;Student;High school;Single;No;23;69;Very poor;No;Rarely;19;6;267;154;96;7997;412;1;3;8;30;2;1320;8;3;94;84;87;18;32;28;18;2;71;38;22;29;865;1651;Yes;39;2025;12/01/2025;165;Stories;Fitness;Private;Yes;No;3;Free;99
784629;Instagram;49;Female;Brazil;Urban;Lower-middle;Full-time employed;Bachelors;Married;No;82;83;Poor;No;Weekly;37;6;293;128;75;8103;252;4;5;11;9;2;2750;8;8;209;150;175;48;33;37;24;4;128;60;38;63;636;513;No;47;2017;03/11/2025;344;Mixed;Fitness;Friends only;Yes;No;2;Free;107
662461;Instagram;15;Male;India;Urban;Low;Freelancer;Bachelors;In a relationship;Yes;83;69;Poor;Yes;Weekly;9;5;290;110;89;7906;363;2;5;15;57;2;1180;7;7;187;70;79;21;28;24;13;3;55;27;13;40;1721;2751;No;27;2024;20/01/2025;169;Reels;Food;Friends only;Yes;No;1;Free;119
280140;Instagram;17;Male;Australia;Urban;Lower-middle;Full-time employed;Some college;Single;Yes;50;53;Poor;No;Several times a week;37;3;243;129;89;8153;665;5;1;8;45;4;4190;18;9;300;150;232;64;61;51;46;10;221;60;85;140;140;169;No;82;2024;26/10/2025;233;Mixed;Other;Private;Yes;Yes;2;Free;92
355573;Instagram;51;Female;India;Suburban;Middle;Student;Masters;Married;No;47;77;Average;No;Daily;30;1;232;102;66;8026;453;2;9;13;33;3;2890;20;6;221;150;160;38;46;38;23;8;148;70;50;106;1852;1131;No;75;2025;04/06/2025;144;Reels;Tech;Public;No;Yes;3;Business;88
749980;Instagram;64;Female;South Korea;Urban;High;Part-time;Bachelors;Married;No;37;74;Average;Former;Rarely;22;8;275;133;85;7954;501;2;6;12;15;6;1840;9;5;135;106;119;40;32;30;19;3;76;25;37;44;272;151;Yes;46;2023;11/12/2025;204;Live;Art;Private;No;Yes;0;Free;116
374754;Instagram;44;Female;United States;Suburban;High;Student;Some college;Single;No;78;82;Poor;No;Never;3;3;220;143;91;7949;490;2;10;14;32;2;1030;3;4;102;66;77;24;24;20;12;1;56;21;15;41;1581;1985;No;61;2023;10/08/2025;343;Mixed;Fashion;Private;No;No;1;Free;132
17328;Instagram;61;Female;United Kingdom;Urban;Upper-middle;Freelancer;Some college;Single;No;51;65;Good;No;Rarely;3;2;274;140;95;7964;377;4;4;5;26;2;630;6;3;66;59;50;13;17;14;8;4;34;7;7;17;188;458;No;61;2010;25/07/2025;105;Mixed;Other;Friends only;Yes;No;3;Free;133
